,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.000225994,0.002023599,0.014455528,paleo,NA,NA,NA,NA,NA,NA,NA
2,0.002774737,0.006973804,0.009863311,paleo,NA,NA,NA,NA,NA,NA,NA
3,0.001813475,0.014412324,0.024346278,paleo,NA,NA,NA,NA,NA,NA,NA
4,0.001488202,0.004270619,0.007927774,paleo,NA,NA,NA,NA,NA,NA,NA
5,0.001008302,0.006463387,0.014582339,paleo,NA,NA,NA,NA,NA,NA,NA
6,0.002345228,0.012163773,0.018292011,paleo,NA,NA,NA,NA,NA,NA,NA
7,0.002794677,0.024700763,0.034964001,paleo,NA,NA,NA,NA,NA,NA,NA
8,0.002752713,0.061898506,0.087648363,paleo,NA,NA,NA,NA,NA,NA,NA
9,0.002774702,0.030385644,0.042975591,paleo,NA,NA,NA,NA,NA,NA,NA
